ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
GO:0002694	GO:0002694	regulation of leukocyte activation	107/557	492/17913	2.37922404657579e-60	4.80841179812967e-57	3.56257495395164e-57	MNDA/BTK/LST1/AIF1/ITGAM/CD300LF/NCKAP1L/HAVCR2/CD4/CD86/CD80/ITGB2/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/TYROBP/NLRP3/VSIG4/CD84/FGR/TREM2/CD83/FCER1G/CCR2/CD74/PTPN22/TLR4/HLA-DOA/PTPRC/DOCK8/NFAM1/PRAM1/C1QA/RAC2/MEF2C/PTAFR/TESPA1/PIK3R6/TNFSF13B/SAMSN1/CD28/CD300A/CD40/PDCD1LG2/MILR1/GPR183/IL7R/CLECL1/VAV1/ICOS/TNFSF8/GPNMB/C5AR1/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/CR1/NFATC2/INPP5D/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/CTSC/CD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/TNFRSF1B/GRAP2/IL1B/FYN/SYK/STAP1/CD209/SIT1/CD22/CD3E/LCK/CCL19/CTLA4/CD6/TIGIT/TNFAIP3/RASGRP1/SIRPG/FCRL3/CST7/SLA2/TBX21/HMOX1/ZAP70/BANK1/IKZF3/PDCD1/CCL5/IRF4/IDO1	107	geneontology_Biological_Process	0.192100538599641
GO:0051249	GO:0051249	regulation of lymphocyte activation	91/557	401/17913	8.67959641875718e-53	1.16943095748722e-49	8.664369056619e-50	MNDA/BTK/LST1/AIF1/NCKAP1L/HAVCR2/CD4/CD86/CD80/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/TYROBP/NLRP3/VSIG4/CD83/CCR2/CD74/PTPN22/TLR4/HLA-DOA/PTPRC/DOCK8/NFAM1/RAC2/MEF2C/TESPA1/PIK3R6/TNFSF13B/SAMSN1/CD28/CD300A/CD40/PDCD1LG2/GPR183/IL7R/CLECL1/VAV1/ICOS/TNFSF8/GPNMB/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/CR1/NFATC2/INPP5D/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/CD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/TNFRSF1B/GRAP2/IL1B/FYN/SYK/CD209/SIT1/CD22/CD3E/LCK/CCL19/CTLA4/CD6/TIGIT/TNFAIP3/RASGRP1/SIRPG/FCRL3/SLA2/TBX21/ZAP70/BANK1/IKZF3/PDCD1/CCL5/IRF4/IDO1	91	geneontology_Biological_Process	0.163375224416517
GO:0050867	GO:0050867	positive regulation of cell activation	79/557	319/17913	8.30555878215169e-49	8.39276714936428e-46	6.21824071979515e-46	BTK/AIF1/ITGAM/NCKAP1L/HAVCR2/CD4/CD86/CD80/ITGB2/HLA-DPA1/HLA-DPB1/HLA-DMB/TYROBP/NLRP3/PLEK/FGR/TREM2/CD83/FCER1G/CCR2/CD74/TLR4/PTPRC/DOCK8/C1QA/MEF2C/PTAFR/TESPA1/PIK3R6/TNFSF13B/CD28/CD40/PDCD1LG2/GPR183/IL7R/CLECL1/VAV1/ICOS/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/NFATC2/INPP5D/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/CTSC/JAK2/CD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/GRAP2/IL1B/FYN/SYK/LILRA5/STAP1/CD209/CD3E/LCK/CCL19/CTLA4/CD6/RASGRP1/SIRPG/FCRL3/TBX21/ZAP70/PDCD1/CCL5	79	geneontology_Biological_Process	0.141831238779174
GO:0002521	GO:0002521	leukocyte differentiation	93/557	485/17913	3.21317303642689e-47	2.52752815031651e-44	1.87265751390673e-44	BTK/NCKAP1L/CSF1R/CD4/SPI1/CD86/CD80/OSCAR/SPN/TYROBP/NLRP3/DOCK2/TREM2/CD83/FCER1G/CCR2/EVI2B/CD74/PTPN22/TLR4/PTGER4/HLA-DOA/PTPRC/NFAM1/GAB3/C1QC/DOCK10/MEF2C/TESPA1/PIK3R6/IKZF1/CD28/NRROS/CCR1/GPR183/IL7R/RASSF2/DCSTAMP/VAV1/CSF1/MAFB/ITGA4/MFNG/FCGR2B/IL12RB1/LILRB2/LYL1/TGFB1/CR1/NFATC2/HCLS1/PIK3CD/FUT7/INPP5D/CD1D/B2M/BTN2A2/IL2RA/LILRB4/PREX1/MITF/CD2/CCR7/RUNX3/CD40LG/IFI16/FOXP3/SNX10/UBASH3B/LRRK1/SYK/CD3E/ITM2A/LCK/THEMIS/CCL19/CD3D/CTLA4/SLAMF6/RASGRP1/PTPRJ/PTK2B/PLCL2/BCL11B/FCRL3/TBX21/ZAP70/EOMES/IKZF3/BATF2/MS4A1/IRF4/PLA2G2D	93	geneontology_Biological_Process	0.166965888689408
GO:0002696	GO:0002696	positive regulation of leukocyte activation	76/557	305/17913	3.75189730378502e-47	2.52752815031651e-44	1.87265751390673e-44	BTK/AIF1/ITGAM/NCKAP1L/HAVCR2/CD4/CD86/CD80/ITGB2/HLA-DPA1/HLA-DPB1/HLA-DMB/TYROBP/NLRP3/FGR/TREM2/CD83/FCER1G/CCR2/CD74/TLR4/PTPRC/DOCK8/C1QA/MEF2C/PTAFR/TESPA1/PIK3R6/TNFSF13B/CD28/CD40/PDCD1LG2/GPR183/IL7R/CLECL1/VAV1/ICOS/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/NFATC2/INPP5D/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/CTSC/CD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/GRAP2/IL1B/FYN/SYK/STAP1/CD209/CD3E/LCK/CCL19/CTLA4/CD6/RASGRP1/SIRPG/FCRL3/TBX21/ZAP70/PDCD1/CCL5	76	geneontology_Biological_Process	0.136445242369838
GO:0070661	GO:0070661	leukocyte proliferation	71/557	270/17913	8.89814821334841e-46	5.13804501119347e-43	3.80680175443251e-43	MNDA/BTK/LST1/AIF1/NCKAP1L/CSF1R/HAVCR2/CD4/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/TYROBP/VSIG4/DOCK2/CCR2/CD74/PTPN22/PIK3CG/TLR4/PTPRC/DOCK8/RAC2/MEF2C/P2RX7/TNFSF13B/CD28/CD300A/CD40/PDCD1LG2/GPR183/IL7R/CLECL1/CSF1/TNFSF8/GPNMB/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/NFATC2/INPP5D/CD1D/BTN2A2/IL2RA/EBI3/CD40LG/FOXP3/RASAL3/BTN3A1/TNFRSF1B/IL1B/FYN/CD209/SLC11A1/CD22/CD3E/CCL19/CTLA4/CD6/TNFAIP3/PLCL2/FCRL3/ZAP70/IKZF3/CCL8/CCL5/MS4A1/IDO1	71	geneontology_Biological_Process	0.127468581687612
GO:0032943	GO:0032943	mononuclear cell proliferation	68/557	246/17913	2.08293806899794e-45	1.05240445936121e-42	7.79731421881467e-43	MNDA/BTK/LST1/AIF1/NCKAP1L/HAVCR2/CD4/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/TYROBP/VSIG4/DOCK2/CCR2/CD74/PTPN22/PIK3CG/TLR4/PTPRC/DOCK8/RAC2/MEF2C/P2RX7/TNFSF13B/CD28/CD300A/CD40/PDCD1LG2/GPR183/IL7R/CLECL1/CSF1/TNFSF8/GPNMB/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/NFATC2/INPP5D/CD1D/BTN2A2/IL2RA/EBI3/CD40LG/FOXP3/RASAL3/BTN3A1/TNFRSF1B/IL1B/FYN/CD209/SLC11A1/CD22/CD3E/CCL19/CTLA4/CD6/PLCL2/FCRL3/ZAP70/IKZF3/CCL5/MS4A1/IDO1	68	geneontology_Biological_Process	0.122082585278276
GO:0050863	GO:0050863	regulation of T cell activation	74/557	307/17913	8.37390152304162e-45	3.76081221734825e-42	2.78640348924601e-42	AIF1/NCKAP1L/HAVCR2/CD4/CD86/CD80/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/NLRP3/VSIG4/CD83/CCR2/CD74/PTPN22/HLA-DOA/PTPRC/DOCK8/RAC2/TESPA1/PIK3R6/TNFSF13B/CD28/CD300A/PDCD1LG2/IL7R/CLECL1/VAV1/ICOS/TNFSF8/GPNMB/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/CR1/NFATC2/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/CD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/TNFRSF1B/GRAP2/IL1B/FYN/SYK/CD209/SIT1/CD3E/LCK/CCL19/CTLA4/CD6/TIGIT/RASGRP1/SIRPG/TBX21/ZAP70/PDCD1/CCL5/IRF4/IDO1	74	geneontology_Biological_Process	0.132854578096948
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	76/557	328/17913	1.09906164591502e-44	4.44240717278851e-42	3.29140040276656e-42	AIF1/NCKAP1L/HAVCR2/CD4/CD86/CD80/ITGB2/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/SELPLG/NLRP3/VSIG4/CD83/CCR2/CD74/PTPN22/PTPRC/DOCK8/RAC2/PTAFR/TESPA1/PIK3R6/TNFSF13B/CD28/CD300A/PDCD1LG2/IL7R/CX3CR1/CLECL1/VAV1/ICOS/GPNMB/CD44/STK10/ITGA4/ITGAL/SELL/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/ETS1/GRAP2/IL1B/FYN/SYK/CD209/CD3E/LCK/CCL19/CTLA4/CD6/TIGIT/RASGRP1/SIRPG/TBX21/ZAP70/PDCD1/CCL5/IDO1	76	geneontology_Biological_Process	0.136445242369838
GO:0046651	GO:0046651	lymphocyte proliferation	67/557	244/17913	1.55269634597073e-44	5.70545330037608e-42	4.22719722898251e-42	MNDA/BTK/LST1/AIF1/NCKAP1L/HAVCR2/CD4/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/TYROBP/VSIG4/DOCK2/CCR2/CD74/PTPN22/PIK3CG/TLR4/PTPRC/DOCK8/RAC2/MEF2C/P2RX7/TNFSF13B/CD28/CD300A/CD40/PDCD1LG2/GPR183/IL7R/CLECL1/TNFSF8/GPNMB/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/NFATC2/INPP5D/CD1D/BTN2A2/IL2RA/EBI3/CD40LG/FOXP3/RASAL3/BTN3A1/TNFRSF1B/IL1B/FYN/CD209/SLC11A1/CD22/CD3E/CCL19/CTLA4/CD6/PLCL2/FCRL3/ZAP70/IKZF3/CCL5/MS4A1/IDO1	67	geneontology_Biological_Process	0.120287253141831
GO:1903037	GO:1903037	regulation of leukocyte cell-cell adhesion	70/557	295/17913	6.85118797313037e-42	2.30770848228275e-39	1.70979208627683e-39	AIF1/NCKAP1L/HAVCR2/CD4/CD86/CD80/ITGB2/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/NLRP3/VSIG4/CD83/CCR2/CD74/PTPN22/PTPRC/DOCK8/PTAFR/TESPA1/PIK3R6/TNFSF13B/CD28/CD300A/PDCD1LG2/IL7R/CLECL1/VAV1/ICOS/GPNMB/CD44/ITGA4/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/ETS1/GRAP2/IL1B/FYN/SYK/CD209/CD3E/LCK/CCL19/CTLA4/CD6/TIGIT/RASGRP1/SIRPG/TBX21/ZAP70/PDCD1/CCL5/IDO1	70	geneontology_Biological_Process	0.125673249551167
GO:0051251	GO:0051251	positive regulation of lymphocyte activation	66/557	258/17913	9.86831907308721e-42	3.06828813026296e-39	2.27330913060187e-39	BTK/AIF1/NCKAP1L/HAVCR2/CD4/CD86/CD80/HLA-DPA1/HLA-DPB1/HLA-DMB/TYROBP/NLRP3/CD83/CCR2/CD74/TLR4/PTPRC/DOCK8/MEF2C/TESPA1/PIK3R6/TNFSF13B/CD28/CD40/PDCD1LG2/GPR183/IL7R/CLECL1/VAV1/ICOS/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/NFATC2/INPP5D/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/GRAP2/IL1B/FYN/SYK/CD209/CD3E/LCK/CCL19/CTLA4/CD6/RASGRP1/SIRPG/FCRL3/TBX21/ZAP70/PDCD1/CCL5	66	geneontology_Biological_Process	0.118491921005386
GO:1903039	GO:1903039	positive regulation of leukocyte cell-cell adhesion	61/557	214/17913	1.24292335244023e-41	3.58849727897388e-39	2.6587345396184e-39	AIF1/NCKAP1L/HAVCR2/CD4/CD86/CD80/ITGB2/HLA-DPA1/HLA-DPB1/HLA-DMB/NLRP3/CD83/CCR2/CD74/PTPRC/DOCK8/PTAFR/TESPA1/PIK3R6/TNFSF13B/CD28/PDCD1LG2/IL7R/CLECL1/VAV1/ICOS/CD44/ITGA4/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/ETS1/GRAP2/IL1B/FYN/SYK/CD209/CD3E/LCK/CCL19/CTLA4/CD6/RASGRP1/SIRPG/ZAP70/PDCD1/CCL5	61	geneontology_Biological_Process	0.10951526032316
GO:0070663	GO:0070663	regulation of leukocyte proliferation	60/557	214/17913	1.70739910168373e-40	4.60087144600376e-38	3.40880732932647e-38	MNDA/BTK/LST1/AIF1/NCKAP1L/HAVCR2/CD4/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/TYROBP/VSIG4/CCR2/CD74/PTPN22/TLR4/PTPRC/RAC2/MEF2C/TNFSF13B/CD28/CD300A/CD40/PDCD1LG2/GPR183/CLECL1/CSF1/TNFSF8/GPNMB/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/NFATC2/INPP5D/CD1D/BTN2A2/IL2RA/EBI3/CD40LG/FOXP3/RASAL3/TNFRSF1B/IL1B/CD209/CD22/CD3E/CCL19/CTLA4/CD6/TNFAIP3/FCRL3/ZAP70/IKZF3/CCL8/CCL5/IDO1	60	geneontology_Biological_Process	0.107719928186715
GO:0032944	GO:0032944	regulation of mononuclear cell proliferation	58/557	200/17913	4.48407699837495e-40	1.13278995171447e-37	8.3928941186689e-38	MNDA/BTK/LST1/AIF1/NCKAP1L/HAVCR2/CD4/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/TYROBP/VSIG4/CCR2/CD74/PTPN22/TLR4/PTPRC/RAC2/MEF2C/TNFSF13B/CD28/CD300A/CD40/PDCD1LG2/GPR183/CLECL1/CSF1/TNFSF8/GPNMB/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/NFATC2/INPP5D/CD1D/BTN2A2/IL2RA/EBI3/CD40LG/FOXP3/RASAL3/TNFRSF1B/IL1B/CD209/CD22/CD3E/CCL19/CTLA4/CD6/FCRL3/ZAP70/IKZF3/CCL5/IDO1	58	geneontology_Biological_Process	0.104129263913824
GO:0030098	GO:0030098	lymphocyte differentiation	71/557	325/17913	6.55607453390866e-40	1.55880313329758e-37	1.15492458507555e-37	BTK/NCKAP1L/CD4/SPI1/CD86/CD80/SPN/NLRP3/DOCK2/CD83/CCR2/CD74/PTPN22/PTGER4/HLA-DOA/PTPRC/NFAM1/DOCK10/TESPA1/PIK3R6/IKZF1/CD28/GPR183/IL7R/VAV1/MAFB/ITGA4/MFNG/FCGR2B/IL12RB1/LILRB2/LYL1/TGFB1/CR1/NFATC2/PIK3CD/FUT7/INPP5D/CD1D/B2M/BTN2A2/IL2RA/LILRB4/PREX1/CD2/CCR7/RUNX3/CD40LG/FOXP3/SYK/CD3E/ITM2A/LCK/THEMIS/CCL19/CD3D/CTLA4/SLAMF6/RASGRP1/PTPRJ/PTK2B/PLCL2/BCL11B/FCRL3/TBX21/ZAP70/EOMES/IKZF3/MS4A1/IRF4/PLA2G2D	71	geneontology_Biological_Process	0.127468581687612
GO:0022409	GO:0022409	positive regulation of cell-cell adhesion	63/557	251/17913	2.62687047741302e-39	5.89878359427967e-37	4.37043655452633e-37	AIF1/NCKAP1L/HAVCR2/CD4/CD86/CD80/ITGB2/HLA-DPA1/HLA-DPB1/HLA-DMB/NLRP3/CD83/CCR2/CD74/PTPRC/DOCK8/PTAFR/TESPA1/PIK3R6/TNFSF13B/CD28/PDCD1LG2/IL7R/CLECL1/VAV1/ICOS/CD44/ITGA4/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/ETS1/GRAP2/IL1B/FYN/SYK/CD209/CD3E/LCK/CCL19/CTLA4/CD6/RASGRP1/SIRPG/ADAM19/ZAP70/PDCD1/CCL5/CXCL13	63	geneontology_Biological_Process	0.11310592459605
GO:0050670	GO:0050670	regulation of lymphocyte proliferation	57/557	199/17913	4.61363053875529e-39	9.81489191455204e-37	7.27189965803811e-37	MNDA/BTK/LST1/AIF1/NCKAP1L/HAVCR2/CD4/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/TYROBP/VSIG4/CCR2/CD74/PTPN22/TLR4/PTPRC/RAC2/MEF2C/TNFSF13B/CD28/CD300A/CD40/PDCD1LG2/GPR183/CLECL1/TNFSF8/GPNMB/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/NFATC2/INPP5D/CD1D/BTN2A2/IL2RA/EBI3/CD40LG/FOXP3/RASAL3/TNFRSF1B/IL1B/CD209/CD22/CD3E/CCL19/CTLA4/CD6/FCRL3/ZAP70/IKZF3/CCL5/IDO1	57	geneontology_Biological_Process	0.102333931777379
GO:0001819	GO:0001819	positive regulation of cytokine production	80/557	446/17913	2.62533982219478e-38	5.30581178065566e-36	3.9311009442864e-36	AIF1/CSF1R/HAVCR2/CD4/CYBB/CD86/CD80/C3AR1/SPN/HLA-DPA1/HLA-DPB1/TYROBP/TLR7/NLRP3/FGR/TREM2/CD83/FCER1G/CCR2/TLR8/CD74/PTPN22/CLEC5A/TLR4/CASP1/IRF8/PTGER4/PTPRC/NFAM1/FCN1/PTAFR/P2RX7/CD28/CD40/CD14/C5AR1/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/TLR1/MCOLN2/B2M/CRTAM/MYD88/NOD2/IRF5/JAK2/CD2/CCR7/EBI3/CD40LG/IFI16/FOXP3/LTA/LTB/NLRP1/IL1B/SYK/LILRA5/GPSM3/CD244/SLC11A1/CD3E/CCL19/OSM/CD6/TIGIT/CARD9/SLAMF6/RASGRP1/PTPRJ/AIM2/HMOX1/BIRC3/GBP5/SEMA7A/IRF4/IDO1	80	geneontology_Biological_Process	0.143626570915619
GO:0022407	GO:0022407	regulation of cell-cell adhesion	75/557	389/17913	3.72131235196698e-38	7.16264025078596e-36	5.30683390543662e-36	AIF1/NCKAP1L/HAVCR2/CD4/CD86/CD80/ITGB2/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/NLRP3/VSIG4/CD83/CCR2/CD74/PTPN22/PTPRC/DOCK8/PTAFR/TESPA1/PIK3R6/TNFSF13B/CD28/CD300A/PDCD1LG2/IL7R/CLECL1/VAV1/ICOS/GPNMB/CD44/ITGA4/FCGR2B/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/JAK2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/ETS1/UBASH3B/GRAP2/IL1B/FYN/SYK/AKNA/CD209/CD3E/LCK/CCL19/CTLA4/CD6/TIGIT/RASGRP1/SIRPG/ADAM19/TBX21/ZAP70/PDCD1/CCL5/IDO1/CXCL13	75	geneontology_Biological_Process	0.134649910233393
GO:0050870	GO:0050870	positive regulation of T cell activation	56/557	198/17913	4.67967734991632e-38	8.59784356743716e-36	6.37018280407269e-36	AIF1/NCKAP1L/HAVCR2/CD4/CD86/CD80/HLA-DPA1/HLA-DPB1/HLA-DMB/NLRP3/CD83/CCR2/CD74/PTPRC/DOCK8/TESPA1/PIK3R6/TNFSF13B/CD28/PDCD1LG2/IL7R/CLECL1/VAV1/ICOS/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/GRAP2/IL1B/FYN/SYK/CD209/CD3E/LCK/CCL19/CTLA4/CD6/RASGRP1/SIRPG/ZAP70/PDCD1/CCL5	56	geneontology_Biological_Process	0.100538599640934
GO:0045785	GO:0045785	positive regulation of cell adhesion	73/557	388/17913	2.16319695656061e-36	3.80158352105129e-34	2.81661114023566e-34	AIF1/NCKAP1L/HAVCR2/CD4/CD86/CD80/ITGB2/HLA-DPA1/HLA-DPB1/HLA-DMB/P2RY12/NLRP3/CD83/CCR2/CD74/PTPRC/DOCK8/PTAFR/TESPA1/PIK3R6/TNFSF13B/CD28/PDCD1LG2/IL7R/CLECL1/VAV1/CSF1/ICOS/CD44/ITGA4/IL12RB1/LILRB2/APBB1IP/TGFB1/CD274/HLA-E/CD1D/BTN2A2/IL2RA/LILRB4/NOD2/PREX1/JAK2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/ETS1/GRAP2/IL1B/FYN/SYK/CD209/CD3E/LCK/CCL19/CTLA4/CD6/PLEKHA2/RASGRP1/PTPRJ/PTK2B/SIRPG/ADAM19/ZAP70/TGM2/PDCD1/SPOCK2/CCL5/CXCL13	73	geneontology_Biological_Process	0.131059245960503
GO:0050900	GO:0050900	leukocyte migration	78/557	467/17913	4.46140380805383e-35	7.51374758006399e-33	5.56697097978647e-33	DOK2/PTPRO/AIF1/ITGAM/NCKAP1L/HCK/C3AR1/ITGB2/OLR1/SPN/P2RY12/SELPLG/CD84/TREM2/FCER1G/CCR2/CD74/PIK3CG/PTGER4/DOCK8/CCL13/CCL23/RAC2/PTAFR/SIRPA/SLC7A7/CD200R1/CCR5/CCR1/CD300A/ITGAX/GPR183/IL16/CMKLR1/CX3CR1/VAV1/CSF1/CD44/STK10/MYO1G/C5AR1/ITGA4/ITGAL/SELL/TGFB1/MPP1/PIK3CD/FUT7/INPP5D/GYPC/MCOLN2/PREX1/CD2/CCR7/CCL2/SDC3/FYN/SYK/STAP1/GPSM3/CD244/PLA2G7/LCK/CCL19/FPR2/CXCR4/PTK2B/CXCR3/SIRPG/CXCL10/TBX21/BST1/HMOX1/ZAP70/CXCL11/CCL8/CCL5/CXCL13	78	geneontology_Biological_Process	0.140035906642729
GO:0002768	GO:0002768	immune response-regulating cell surface receptor signaling pathway	75/557	434/17913	9.23034504112565e-35	1.4923621862492e-32	1.1056981744001e-32	MNDA/BTK/NCKAP1L/CD4/HCK/HLA-DRA/C3AR1/FCGR2A/HLA-DPA1/HLA-DPB1/LAT2/LPXN/LCP2/FGR/FCER1G/HLA-DRB1/CLEC10A/HLA-DQA1/PTPN22/PTPRC/NFAM1/WAS/FCN1/MEF2C/TESPA1/CD200R1/CD300A/CD40/HLA-DQB1/VAV1/MYO1G/C5AR1/FCGR2B/LILRB2/CR1/NFATC2/PRKCB/WIPF1/PIK3CD/INPP5D/HLA-DQB2/BTN2A2/LILRB4/FCER1A/THEMIS2/KLHL6/CCR7/FOXP3/BTN3A1/ITK/GRAP2/FYN/SYK/TRAT1/CD3G/STAP1/CD209/CD247/CD22/CD3E/LCK/THEMIS/CD3D/GBP1/FPR2/CTLA4/CARD9/PSMB9/NCR3/PTPRJ/PLCL2/FCRL3/SLA2/ZAP70/MS4A1	75	geneontology_Biological_Process	0.134649910233393
GO:0050851	GO:0050851	antigen receptor-mediated signaling pathway	55/557	224/17913	7.71523596193445e-34	1.19942245223612e-31	8.88657745413098e-32	MNDA/BTK/NCKAP1L/CD4/HLA-DRA/HLA-DPA1/HLA-DPB1/LAT2/LPXN/LCP2/HLA-DRB1/HLA-DQA1/PTPN22/PTPRC/NFAM1/WAS/MEF2C/TESPA1/CD300A/HLA-DQB1/FCGR2B/NFATC2/PRKCB/PIK3CD/INPP5D/HLA-DQB2/BTN2A2/LILRB4/THEMIS2/KLHL6/CCR7/FOXP3/BTN3A1/ITK/GRAP2/FYN/SYK/TRAT1/CD3G/STAP1/CD247/CD22/CD3E/LCK/THEMIS/CD3D/GBP1/CTLA4/PSMB9/PTPRJ/PLCL2/FCRL3/SLA2/ZAP70/MS4A1	55	geneontology_Biological_Process	0.0987432675044883
GO:0002429	GO:0002429	immune response-activating cell surface receptor signaling pathway	70/557	399/17913	6.981498330617e-33	1.04515615749459e-30	7.74361120881301e-31	MNDA/BTK/NCKAP1L/CD4/HCK/HLA-DRA/C3AR1/FCGR2A/HLA-DPA1/HLA-DPB1/LAT2/LPXN/LCP2/FGR/FCER1G/HLA-DRB1/CLEC10A/HLA-DQA1/PTPN22/PTPRC/NFAM1/WAS/FCN1/MEF2C/TESPA1/CD300A/HLA-DQB1/VAV1/MYO1G/C5AR1/FCGR2B/CR1/NFATC2/PRKCB/WIPF1/PIK3CD/INPP5D/HLA-DQB2/BTN2A2/LILRB4/THEMIS2/KLHL6/CCR7/FOXP3/BTN3A1/ITK/GRAP2/FYN/SYK/TRAT1/CD3G/STAP1/CD209/CD247/CD22/CD3E/LCK/THEMIS/CD3D/GBP1/CTLA4/CARD9/PSMB9/NCR3/PTPRJ/PLCL2/FCRL3/SLA2/ZAP70/MS4A1	70	geneontology_Biological_Process	0.125673249551167
GO:0030217	GO:0030217	T cell differentiation	53/557	234/17913	9.61490181849801e-31	1.38797975537032e-28	1.02836073961003e-28	NCKAP1L/CD4/CD86/CD80/SPN/NLRP3/DOCK2/CD83/CCR2/CD74/PTPN22/PTGER4/HLA-DOA/PTPRC/TESPA1/PIK3R6/CD28/GPR183/IL7R/VAV1/MAFB/IL12RB1/LILRB2/TGFB1/CR1/NFATC2/PIK3CD/FUT7/CD1D/B2M/BTN2A2/IL2RA/LILRB4/PREX1/CD2/CCR7/RUNX3/FOXP3/SYK/CD3E/LCK/THEMIS/CCL19/CD3D/CTLA4/SLAMF6/RASGRP1/BCL11B/TBX21/ZAP70/EOMES/IRF4/PLA2G2D	53	geneontology_Biological_Process	0.0951526032315978
GO:0042098	GO:0042098	T cell proliferation	47/557	177/17913	1.07476996463806e-30	1.49800696450587e-28	1.10988041720337e-28	AIF1/NCKAP1L/HAVCR2/CD4/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/VSIG4/DOCK2/CCR2/PIK3CG/PTPRC/DOCK8/RAC2/P2RX7/TNFSF13B/CD28/PDCD1LG2/CLECL1/TNFSF8/GPNMB/IL12RB1/LILRB2/TGFB1/CD274/HLA-E/CD1D/BTN2A2/IL2RA/EBI3/CD40LG/FOXP3/RASAL3/BTN3A1/TNFRSF1B/IL1B/FYN/CD209/SLC11A1/CD3E/CCL19/CTLA4/CD6/ZAP70/CCL5/IDO1	47	geneontology_Biological_Process	0.0843806104129264
